source_id,name,name_ms,category,calories_kcal,protein_g,fat_g,carbs_g,fibre_g,sugar_g,sodium_mg,serving_name,serving_grams,source_name,source_url,source_published_date
MY001,Nasi Lemak,Nasi Lemak,Rice & Dishes,180.0,4.0,8.0,25.0,1.5,2.0,300.0,1 plate,250.0,FitLoop reference dataset (standardized),,
MY002,Nasi Lemak Ayam Goreng,Nasi Lemak Ayam Goreng,Rice & Dishes,210.0,8.5,9.5,23.0,1.4,1.8,420.0,1 plate,350.0,FitLoop estimated reference,,
MY003,Chicken Rice,Nasi Ayam,Rice & Dishes,190.0,10.0,6.0,24.0,1.0,1.5,400.0,1 plate,280.0,FitLoop reference dataset (standardized),,
MY004,Nasi Goreng Kampung,Nasi Goreng Kampung,Rice & Dishes,200.0,6.5,7.0,28.0,1.5,2.0,450.0,1 plate,300.0,FitLoop estimated reference,,
MY005,Nasi Goreng Cina,Nasi Goreng Cina,Rice & Dishes,185.0,5.5,6.0,27.0,1.2,1.5,380.0,1 plate,280.0,FitLoop estimated reference,,
MY006,Nasi Kerabu,Nasi Kerabu,Rice & Dishes,135.0,4.0,3.5,22.0,2.5,1.5,290.0,1 plate,250.0,FitLoop estimated reference,,
MY007,Nasi Briyani Ayam,Nasi Briyani Ayam,Rice & Dishes,195.0,8.5,7.5,24.0,1.8,2.0,480.0,1 plate,350.0,FitLoop estimated reference,,
MY008,Nasi Kandar,Nasi Kandar,Rice & Dishes,190.0,9.0,8.0,21.0,1.6,2.2,520.0,1 plate,350.0,FitLoop estimated reference,,
MY009,Nasi Dagang,Nasi Dagang,Rice & Dishes,175.0,6.0,6.5,23.0,1.5,2.0,360.0,1 plate,280.0,FitLoop estimated reference,,
MY010,Nasi Goreng Pattaya,Nasi Goreng Pattaya,Rice & Dishes,190.0,7.5,7.5,24.0,1.2,2.5,460.0,1 plate,320.0,FitLoop estimated reference,,
MY011,Claypot Chicken Rice,Nasi Ayam Claypot,Rice & Dishes,195.0,9.5,6.5,25.0,1.2,3.0,510.0,1 claypot,320.0,FitLoop estimated reference,,
MY012,Nasi Goreng Tomyam,Nasi Goreng Tomyam,Rice & Dishes,190.0,6.0,6.5,27.0,1.4,2.2,530.0,1 plate,300.0,FitLoop estimated reference,,
MY013,Nasi Ulam,Nasi Ulam,Rice & Dishes,130.0,3.5,2.5,24.0,3.0,1.0,220.0,1 plate,220.0,FitLoop estimated reference,,
MY014,Char Kuey Teow,Char Kuey Teow,Noodles & Rice Noodles,220.0,8.0,9.0,28.0,1.8,4.0,550.0,1 plate,300.0,FitLoop reference dataset (standardized),,
MY015,Mee Goreng Mamak,Mee Goreng Mamak,Noodles & Rice Noodles,210.0,7.0,8.0,30.0,2.0,3.5,500.0,1 plate,300.0,FitLoop reference dataset (standardized),,
MY016,Curry Laksa,Laksa Kari,Noodles & Rice Noodles,160.0,6.0,7.0,18.0,1.2,2.5,600.0,1 bowl,350.0,FitLoop estimated reference,,
MY017,Asam Laksa,Asam Laksa,Noodles & Rice Noodles,125.0,6.5,2.5,19.0,2.0,3.0,680.0,1 bowl,350.0,FitLoop estimated reference,,
MY018,Laksa Sarawak,Laksa Sarawak,Noodles & Rice Noodles,165.0,7.0,8.0,16.5,1.5,2.0,580.0,1 bowl,350.0,FitLoop estimated reference,,
MY019,Pan Mee,Pan Mee Sup,Noodles & Rice Noodles,140.0,7.0,4.0,19.0,1.5,1.5,520.0,1 bowl,320.0,FitLoop estimated reference,,
MY020,Wantan Mee,Mee Wantan Kering,Noodles & Rice Noodles,190.0,7.5,6.5,26.0,1.5,4.0,490.0,1 plate,250.0,FitLoop estimated reference,,
MY021,Hokkien Mee,Mee Hokkien,Noodles & Rice Noodles,210.0,8.0,9.5,24.0,1.2,3.5,560.0,1 plate,300.0,FitLoop estimated reference,,
MY022,Bihun Goreng,Bihun Goreng,Noodles & Rice Noodles,185.0,5.0,6.5,27.0,1.8,2.0,420.0,1 plate,250.0,FitLoop estimated reference,,
MY023,Maggi Goreng,Maggi Goreng,Noodles & Rice Noodles,230.0,6.5,11.0,27.0,1.2,3.0,650.0,1 plate,250.0,FitLoop estimated reference,,
MY024,Mee Rebus,Mee Rebus,Noodles & Rice Noodles,150.0,5.5,4.5,22.5,2.0,4.0,480.0,1 bowl,320.0,FitLoop estimated reference,,
MY025,Kuey Teow Sup,Kuey Teow Sup,Noodles & Rice Noodles,115.0,5.0,2.5,18.0,1.0,1.5,510.0,1 bowl,320.0,FitLoop estimated reference,,
MY026,Char Hor Fun,Wat Tan Hor,Noodles & Rice Noodles,165.0,7.5,6.0,20.0,1.2,2.0,540.0,1 plate,320.0,FitLoop estimated reference,,
MY027,Mee Siam,Mee Siam Goreng,Noodles & Rice Noodles,170.0,5.5,5.5,25.0,1.8,4.0,490.0,1 plate,250.0,FitLoop estimated reference,,
MY028,Chee Cheong Fun,Chee Cheong Fun Sweet Sauce,Noodles & Rice Noodles,145.0,3.0,3.5,26.0,1.0,6.0,380.0,1 plate,200.0,FitLoop estimated reference,,
MY029,Roti Canai,Roti Canai,Breads & Flour Foods,300.0,7.0,15.0,35.0,2.0,3.0,450.0,1 piece,95.0,FitLoop reference dataset (standardized),,
MY030,Roti Telur,Roti Telur,Breads & Flour Foods,265.0,8.5,12.0,31.0,1.8,3.0,420.0,1 piece,140.0,FitLoop estimated reference,,
MY031,Roti Bom,Roti Bom,Breads & Flour Foods,360.0,5.5,18.0,44.0,1.5,12.0,380.0,1 piece,100.0,FitLoop estimated reference,,
MY032,Roti Tisu,Roti Tisu,Breads & Flour Foods,340.0,5.0,14.0,49.0,1.0,16.0,310.0,1 piece,120.0,FitLoop estimated reference,,
MY033,Murtabak Ayam,Murtabak Ayam,Breads & Flour Foods,215.0,11.0,9.0,23.0,1.5,2.5,480.0,1 piece,220.0,FitLoop estimated reference,,
MY034,Murtabak Daging,Murtabak Daging,Breads & Flour Foods,230.0,12.5,11.0,21.0,1.5,2.5,510.0,1 piece,220.0,FitLoop estimated reference,,
MY035,Thosai,Tosai,Breads & Flour Foods,175.0,4.5,3.5,32.0,2.5,1.5,280.0,1 piece,100.0,FitLoop estimated reference,,
MY036,Rava Thosai,Rava Tosai,Breads & Flour Foods,190.0,4.5,5.0,32.0,2.0,1.5,320.0,1 piece,110.0,FitLoop estimated reference,,
MY037,Chapati,Capati,Breads & Flour Foods,240.0,8.0,4.0,44.0,6.0,2.0,220.0,1 piece,60.0,FitLoop estimated reference,,
MY038,Naan Garlic,Roti Naan Bawang Putih,Breads & Flour Foods,275.0,8.5,6.0,47.0,3.0,3.0,410.0,1 piece,120.0,FitLoop estimated reference,,
MY039,Naan Cheese,Roti Naan Keju,Breads & Flour Foods,310.0,12.0,12.0,40.0,2.5,3.0,520.0,1 piece,140.0,FitLoop estimated reference,,
MY040,Roti Jala,Roti Jala,Breads & Flour Foods,195.0,5.0,6.5,29.0,1.0,3.0,260.0,3 pieces,90.0,FitLoop estimated reference,,
MY041,Poori,Puri,Breads & Flour Foods,320.0,6.5,17.0,36.0,2.0,1.5,340.0,1 piece,50.0,FitLoop estimated reference,,
MY042,Vadai,Vadai / Medu Vada,Breads & Flour Foods,250.0,8.0,12.0,28.0,3.5,1.0,360.0,1 piece,50.0,FitLoop estimated reference,,
